mondo_id,mapping_type,doid_id,mapping_justification,mondo_label,doid_label
MONDO:0002552,skos:exactMatch,DOID:320,semapv:UnspecifiedMatching,vascular myelopathy,vascular myelopathy
MONDO:0002553,skos:exactMatch,DOID:3200,semapv:UnspecifiedMatching,cerebellopontine angle tumor,cerebellopontine angle tumor
MONDO:0002554,skos:exactMatch,DOID:3201,semapv:UnspecifiedMatching,sympathetic neurilemmoma,sympathetic neurilemmoma
MONDO:0002555,skos:exactMatch,DOID:3202,semapv:UnspecifiedMatching,trigeminal schwannoma,neurilemmoma of the fifth cranial nerve
MONDO:0002558,skos:exactMatch,DOID:3205,semapv:UnspecifiedMatching,melanotic neurilemmoma,melanotic neurilemmoma
MONDO:0002559,skos:exactMatch,DOID:3206,semapv:UnspecifiedMatching,plexiform schwannoma,plexiform schwannoma
MONDO:0002561,skos:exactMatch,DOID:3211,semapv:UnspecifiedMatching,lysosomal storage disease,lysosomal storage disease
MONDO:0002562,skos:exactMatch,DOID:3213,semapv:UnspecifiedMatching,demyelinating disease,demyelinating disease
MONDO:0002563,skos:exactMatch,DOID:3216,semapv:UnspecifiedMatching,jejunal somatostatinoma,jejunal somatostatinoma
MONDO:0002564,skos:exactMatch,DOID:3218,semapv:UnspecifiedMatching,jejunal neoplasm,jejunal neoplasm
MONDO:0002565,skos:exactMatch,DOID:322,semapv:UnspecifiedMatching,myelitis,myelitis
MONDO:0002567,skos:exactMatch,DOID:3225,semapv:UnspecifiedMatching,tracheal disorder,tracheal disease
MONDO:0002568,skos:exactMatch,DOID:3227,semapv:UnspecifiedMatching,tracheal stenosis,tracheal stenosis
MONDO:0002569,skos:exactMatch,DOID:3229,semapv:UnspecifiedMatching,gastric dilatation,gastric dilatation
MONDO:0002570,skos:exactMatch,DOID:3230,semapv:UnspecifiedMatching,high pressure neurological syndrome,high pressure neurological syndrome
MONDO:0002571,skos:exactMatch,DOID:3234,semapv:UnspecifiedMatching,primary central nervous system lymphoma,central nervous system lymphoma
MONDO:0002572,skos:exactMatch,DOID:3240,semapv:UnspecifiedMatching,aspiration pneumonitis,aspiration pneumonitis
MONDO:0002574,skos:exactMatch,DOID:3251,semapv:UnspecifiedMatching,prostate embryonal rhabdomyosarcoma,prostate embryonal rhabdomyosarcoma
MONDO:0002576,skos:exactMatch,DOID:3253,semapv:UnspecifiedMatching,embryonal extrahepatic bile duct rhabdomyosarcoma,embryonal extrahepatic bile duct rhabdomyosarcoma
MONDO:0002577,skos:exactMatch,DOID:3254,semapv:UnspecifiedMatching,extrahepatic bile duct rhabdomyosarcoma,bile duct rhabdomyosarcoma
MONDO:0002578,skos:exactMatch,DOID:3255,semapv:UnspecifiedMatching,botryoid rhabdomyosarcoma,botryoid rhabdomyosarcoma
MONDO:0002579,skos:exactMatch,DOID:3258,semapv:UnspecifiedMatching,orbit embryonal rhabdomyosarcoma,orbit embryonal rhabdomyosarcoma
MONDO:0002580,skos:exactMatch,DOID:3259,semapv:UnspecifiedMatching,orbit rhabdomyosarcoma,orbit rhabdomyosarcoma
MONDO:0002581,skos:exactMatch,DOID:3260,semapv:UnspecifiedMatching,spindle cell rhabdomyosarcoma,spindle cell rhabdomyosarcoma
MONDO:0002582,skos:exactMatch,DOID:3264,semapv:UnspecifiedMatching,subacute leukemia,subacute leukemia
MONDO:0002583,skos:exactMatch,DOID:3267,semapv:UnspecifiedMatching,mucinous ovarian cystadenoma,mucinous ovarian cystadenoma
MONDO:0002585,skos:exactMatch,DOID:3274,semapv:UnspecifiedMatching,"breast fibrocystic change, proliferative type",proliferative type fibrocystic change of breast
MONDO:0002586,skos:exactMatch,DOID:3277,semapv:UnspecifiedMatching,thymus cancer,thymus cancer
MONDO:0002587,skos:exactMatch,DOID:3278,semapv:UnspecifiedMatching,encapsulated thymoma,encapsulated thymoma
MONDO:0002588,skos:exactMatch,DOID:3279,semapv:UnspecifiedMatching,thymoma type A,spindle cell thymoma
MONDO:0002590,skos:exactMatch,DOID:3281,semapv:UnspecifiedMatching,combined thymoma,combined thymoma
MONDO:0002592,skos:exactMatch,DOID:3283,semapv:UnspecifiedMatching,invasive malignant thymoma,invasive malignant thymoma
MONDO:0002594,skos:exactMatch,DOID:3292,semapv:UnspecifiedMatching,monkeypox,mpox
MONDO:0002595,skos:exactMatch,DOID:3298,semapv:UnspecifiedMatching,vaccinia,vaccinia
MONDO:0002597,skos:exactMatch,DOID:3303,semapv:UnspecifiedMatching,notochordal tumor,notochordal cancer
MONDO:0002598,skos:exactMatch,DOID:3304,semapv:UnspecifiedMatching,germinoma,germinoma
MONDO:0002599,skos:exactMatch,DOID:3305,semapv:UnspecifiedMatching,teratocarcinoma,teratocarcinoma
MONDO:0002601,skos:exactMatch,DOID:3307,semapv:UnspecifiedMatching,teratoma,teratoma
MONDO:0002602,skos:exactMatch,DOID:331,semapv:UnspecifiedMatching,central nervous system disorder,central nervous system disease
MONDO:0002603,skos:exactMatch,DOID:3314,semapv:UnspecifiedMatching,angiomyolipoma,angiomyolipoma
MONDO:0002604,skos:exactMatch,DOID:3316,semapv:UnspecifiedMatching,pericytic neoplasm,perivascular tumor
MONDO:0002605,skos:exactMatch,DOID:3317,semapv:UnspecifiedMatching,hepatic angiomyolipoma,hepatic angiomyolipoma
MONDO:0002606,skos:exactMatch,DOID:3318,semapv:UnspecifiedMatching,epithelioid type angiomyolipoma,epithelioid type angiomyolipoma
MONDO:0002610,skos:exactMatch,DOID:3326,semapv:UnspecifiedMatching,purpura,purpura
MONDO:0002612,skos:exactMatch,DOID:3331,semapv:UnspecifiedMatching,frontal lobe epilepsy,frontal lobe epilepsy
MONDO:0002613,skos:exactMatch,DOID:334,semapv:UnspecifiedMatching,histrionic personality disorder,histrionic personality disorder
MONDO:0002614,skos:exactMatch,DOID:3342,semapv:UnspecifiedMatching,bone inflammation disease,bone inflammation disease
MONDO:0002615,skos:exactMatch,DOID:3345,semapv:UnspecifiedMatching,xanthomatosis,xanthomatosis
MONDO:0002616,skos:exactMatch,DOID:3350,semapv:UnspecifiedMatching,mesenchymal cell neoplasm,mesenchymal cell neoplasm
MONDO:0002617,skos:exactMatch,DOID:3351,semapv:UnspecifiedMatching,bone angiosarcoma,bone angioendothelial sarcoma
MONDO:0002618,skos:exactMatch,DOID:3352,semapv:UnspecifiedMatching,undifferentiated high grade pleomorphic sarcoma of bone,malignant fibrous histiocytoma of bone
MONDO:0002619,skos:exactMatch,DOID:3354,semapv:UnspecifiedMatching,bone fibrosarcoma,fibrosarcoma of bone
MONDO:0002620,skos:exactMatch,DOID:3356,semapv:UnspecifiedMatching,localized osteosarcoma,localized osteosarcoma
MONDO:0002621,skos:exactMatch,DOID:3357,semapv:UnspecifiedMatching,extraosseous osteosarcoma,extraosseous osteosarcoma
MONDO:0002622,skos:exactMatch,DOID:3360,semapv:UnspecifiedMatching,multifocal osteogenic sarcoma,multifocal osteogenic sarcoma
MONDO:0002623,skos:exactMatch,DOID:3361,semapv:UnspecifiedMatching,pediatric osteosarcoma,childhood osteosarcoma
MONDO:0002624,skos:exactMatch,DOID:3367,semapv:UnspecifiedMatching,bone leiomyosarcoma,bone leiomyosarcoma
MONDO:0002625,skos:exactMatch,DOID:3368,semapv:UnspecifiedMatching,Ewing sarcoma of bone,Ewing sarcoma of bone
MONDO:0002626,skos:exactMatch,DOID:337,semapv:UnspecifiedMatching,spinal accessory nerve neoplasm,spinal accessory nerve neoplasm
MONDO:0002627,skos:exactMatch,DOID:3372,semapv:UnspecifiedMatching,chondroblastic osteosarcoma,chondroblastic osteosarcoma
MONDO:0002628,skos:exactMatch,DOID:3374,semapv:UnspecifiedMatching,peripheral osteosarcoma,peripheral osteosarcoma
MONDO:0002629,skos:exactMatch,DOID:3376,semapv:UnspecifiedMatching,bone osteosarcoma,bone osteosarcoma
MONDO:0002630,skos:exactMatch,DOID:3377,semapv:UnspecifiedMatching,small cell osteogenic sarcoma,small cell osteogenic sarcoma
MONDO:0002631,skos:exactMatch,DOID:7602,semapv:UnspecifiedMatching,conventional osteosarcoma,conventional osteosarcoma
MONDO:0002632,skos:exactMatch,DOID:3379,semapv:UnspecifiedMatching,metachronous osteosarcoma of the bone,metachronous osteosarcoma of the bone
MONDO:0002634,skos:exactMatch,DOID:3381,semapv:UnspecifiedMatching,liposarcoma of bone,liposarcoma of bone
MONDO:0002635,skos:exactMatch,DOID:3388,semapv:UnspecifiedMatching,periodontal disorder,periodontal disease
MONDO:0002636,skos:exactMatch,DOID:339,semapv:UnspecifiedMatching,accessory nerve disorder,accessory nerve disease
MONDO:0002637,skos:exactMatch,DOID:3405,semapv:UnspecifiedMatching,histiocytosis,histiocytosis
MONDO:0002638,skos:exactMatch,DOID:3417,semapv:UnspecifiedMatching,glossopharyngeal nerve neoplasm,glossopharyngeal nerve neoplasm
MONDO:0002639,skos:exactMatch,DOID:3418,semapv:UnspecifiedMatching,glossopharyngeal nerve disorder,glossopharyngeal nerve disease
MONDO:0002640,skos:exactMatch,DOID:3419,semapv:UnspecifiedMatching,optic nerve neoplasm,optic nerve neoplasm
MONDO:0002641,skos:exactMatch,DOID:342,semapv:UnspecifiedMatching,subclavian artery aneurysm,subclavian artery aneurysm
MONDO:0002642,skos:exactMatch,DOID:3421,semapv:UnspecifiedMatching,trochlear nerve neoplasm,trochlear nerve neoplasm
MONDO:0002643,skos:exactMatch,DOID:3426,semapv:UnspecifiedMatching,vestibular disorder,vestibular disease
MONDO:0002644,skos:exactMatch,DOID:3428,semapv:UnspecifiedMatching,idiopathic granulomatous myositis,granulomatous myositis
MONDO:0002645,skos:exactMatch,DOID:3431,semapv:UnspecifiedMatching,cerebritis,cerebritis
MONDO:0002646,skos:exactMatch,DOID:3436,semapv:UnspecifiedMatching,viral laryngitis,viral laryngitis
MONDO:0002647,skos:exactMatch,DOID:3437,semapv:UnspecifiedMatching,laryngitis,laryngitis
MONDO:0002648,skos:exactMatch,DOID:3443,semapv:UnspecifiedMatching,mammary Paget disease,mammary Paget's disease
MONDO:0002649,skos:exactMatch,DOID:3444,semapv:UnspecifiedMatching,scrotum Paget disease,scrotum Paget's disease
MONDO:0002650,skos:exactMatch,DOID:3445,semapv:UnspecifiedMatching,scrotal carcinoma,scrotal carcinoma
MONDO:0002651,skos:exactMatch,DOID:3446,semapv:UnspecifiedMatching,anal Paget disease,anal Paget's disease
MONDO:0002652,skos:exactMatch,DOID:3447,semapv:UnspecifiedMatching,anus adenocarcinoma,anus adenocarcinoma
MONDO:0002653,skos:exactMatch,DOID:3448,semapv:UnspecifiedMatching,Paget disease of the penis,penis Paget's disease
MONDO:0002654,skos:exactMatch,DOID:345,semapv:UnspecifiedMatching,uterine disorder,uterine disease
MONDO:0002655,skos:exactMatch,DOID:3450,semapv:UnspecifiedMatching,cutaneous Paget disease,cutaneous Paget's disease
MONDO:0002656,skos:exactMatch,DOID:3451,semapv:UnspecifiedMatching,skin carcinoma,skin carcinoma
MONDO:0002657,skos:exactMatch,DOID:3463,semapv:UnspecifiedMatching,breast disorder,breast disease
MONDO:0002658,skos:exactMatch,DOID:3478,semapv:UnspecifiedMatching,iris cancer,iris cancer
MONDO:0002659,skos:exactMatch,DOID:3479,semapv:UnspecifiedMatching,uveal cancer,uveal cancer
MONDO:0002660,skos:exactMatch,DOID:348,semapv:UnspecifiedMatching,blepharochalasis,blepharochalasis
MONDO:0002661,skos:exactMatch,DOID:3480,semapv:UnspecifiedMatching,uveal disorder,uveal disease
MONDO:0002664,skos:exactMatch,DOID:3494,semapv:UnspecifiedMatching,extrahepatic bile duct signet ring cell carcinoma,bile duct signet ring cell carcinoma
